"Story","Title","Result","Date","Stability","Duration (s)"
"Get User","As admin I want to Get User By Id","SUCCESS","2022-07-21T18:53:58.4325338-08:00[GMT-08:00]","0.0","63.66"
"Invoice","As Admin I want to upload file csv for Invoice","SUCCESS","2022-07-21T18:55:03.0771221-08:00[GMT-08:00]","0.0","5.76"
"Invoice","As admin I want to Get All Invoice","SUCCESS","2022-07-21T18:55:09.0351788-08:00[GMT-08:00]","0.0","5.99"
"Invoice","As admin I want to Get Invoice by Id","SUCCESS","2022-07-21T18:55:15.2672496-08:00[GMT-08:00]","0.0","3.35"
"Login","POST - As admin I want to login with valid idpegawai and password","SUCCESS","2022-07-21T18:55:18.8798618-08:00[GMT-08:00]","0.0","1.64"
"Register","As Admin I have be able to create new user with valid data","SUCCESS","2022-07-21T18:55:20.6149284-08:00[GMT-08:00]","0.0","4.69"
"Send Email Customer","As admin I want to send Email to Customer","SUCCESS","2022-07-21T18:55:25.4844564-08:00[GMT-08:00]","0.0","4.26"
